1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Garage Yr Blt,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Neighborhood,Open Porch SF,Order,Overall Cond,Overall Qual,PID,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,SalePrice,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold
2338,0,0,NA,4,1Fam,TA,Av,1,0,Ex,1559,1101,0,GLQ,Unf,Y,PosN,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,2,PConc,2,Typ,1110,3,TA,Fin,Gd,Attchd,2005,2338,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,51974,CulDSac,52,IR1,0,020,RL,710,BrkFace,NA,0,6,StoneBr,135,1638,5,9,0527216080,Y,0,NA,CompShg,Hip,Partial,New,591587,322,Pave,8,2660,AllPub,0,2006,2007,2007
1424,0,0,NA,3,2fmCon,TA,Gd,1,0,Gd,53,1047,0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NA,NA,0,CBlock,1,Mod,828,3,TA,Unf,TA,2Types,1969,1424,1,GasW,TA,1Story,1,TA,Lvl,Gtl,41600,FR2,195,IR1,0,190,RL,0,None,NA,0,11,Gilbert,0,1639,5,5,0527226040,N,0,NA,CompShg,Gable,Normal,WD ,155000,0,Pave,7,1100,AllPub,144,1969,1990,2007
1824,0,0,NA,2,1Fam,TA,Gd,1,0,Gd,424,1219,0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,TA,2,CBlock,2,Typ,739,2,TA,Unf,TA,Attchd,1971,1824,0,GasA,TA,1Story,1,Gd,Low,Sev,115149,CulDSac,None,IR2,0,020,RL,351,Stone,NA,0,6,ClearCr,48,2072,5,7,0905301050,Y,0,NA,CompShg,Gable,Normal,WD ,302000,0,Pave,5,1643,AllPub,380,1971,2002,2007
1444,700,0,NA,4,1Fam,TA,Gd,0,1,Gd,747,697,0,Rec,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,Wd Sdng,HdBoard,NA,TA,2,CBlock,2,Typ,389,2,TA,Fin,TA,Attchd,1958,2144,0,GasA,Gd,1.5Fin,1,Gd,Low,Sev,159000,CulDSac,None,IR2,0,050,RL,472,BrkCmn,Shed,500,6,ClearCr,98,2116,7,6,0906426060,Y,0,NA,CompShg,Gable,Normal,WD ,277000,0,Pave,7,1444,AllPub,0,1958,2006,2007
1079,874,0,NA,3,1Fam,TA,Av,1,0,Gd,595,985,0,GLQ,Unf,Y,Feedr,Norm,SBrkr,0,TA,Gd,HdBoard,HdBoard,NA,Fa,2,PConc,2,Typ,501,2,TA,Fin,TA,Attchd,1992,1953,1,GasA,Ex,2Story,1,Gd,Low,Mod,53107,Corner,None,IR2,0,060,RL,0,None,NA,0,6,ClearCr,231,2117,5,6,0906426195,Y,0,NA,CompShg,Gable,Normal,WD ,240000,0,Pave,9,1580,AllPub,216,1992,1992,2007
5095,0,0,NA,2,1Fam,TA,Gd,1,1,Ex,1085,4010,0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,NA,Gd,2,PConc,2,Typ,1154,3,TA,Fin,TA,Attchd,2008,5095,1,GasA,Ex,1Story,1,Ex,Bnk,Gtl,39290,Inside,128,IR1,0,020,RL,1224,Stone,Elev,17000,10,Edwards,484,2181,5,10,0908154195,Y,0,NA,CompShg,Hip,Partial,New,183850,0,Pave,15,5095,AllPub,546,2008,2009,2007
3138,1538,0,NA,3,1Fam,TA,Gd,1,0,Ex,878,2260,0,GLQ,Unf,Y,PosN,PosN,SBrkr,0,TA,Ex,CemntBd,CmentBd,NA,Gd,1,PConc,3,Typ,884,3,TA,Fin,TA,BuiltIn,2007,4676,1,GasA,Ex,2Story,1,Ex,Bnk,Gtl,40094,Inside,130,IR1,0,060,RL,762,Stone,NA,0,10,Edwards,406,2182,5,10,0908154205,Y,0,NA,CompShg,Hip,Partial,New,184750,0,Pave,11,3138,AllPub,208,2007,2008,2007
2515,0,0,NA,4,1Fam,TA,No,1,0,TA,816,1219,0,Rec,Unf,Y,Norm,Norm,SBrkr,200,TA,Gd,Wd Sdng,Stone,NA,TA,2,PConc,3,Maj1,484,2,TA,RFn,TA,Attchd,1975,2515,0,GasA,TA,1Story,2,TA,Lvl,Gtl,32668,CulDSac,None,IR1,0,020,RL,None,None,NA,0,3,Crawfor,0,2230,3,6,0909475070,Y,0,NA,CompShg,Hip,Alloca,WD ,200624,0,Pave,9,2035,AllPub,0,1957,1975,2007
1572,0,0,NA,3,1Fam,TA,Gd,1,0,TA,413,1159,0,Rec,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,NA,TA,2,CBlock,1,Typ,995,3,TA,RFn,TA,2Types,1963,1572,1,GasA,Gd,1Story,1,TA,Lvl,Mod,35133,Inside,50,Reg,0,020,RL,226,BrkFace,NA,0,5,Timber,263,2274,4,5,0917425190,Y,0,NA,CompShg,Hip,Normal,WD ,186700,263,Grvl,5,1572,AllPub,0,1963,1963,2007
2034,0,0,NA,2,1Fam,NA,NA,0,0,NA,0,0,0,NA,NA,Y,Artery,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,GdPrv,NA,0,CBlock,1,Min1,1041,4,TA,RFn,TA,2Types,1953,2034,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,43500,Inside,200,Reg,0,020,RL,0,None,NA,0,6,Mitchel,266,2279,5,3,0923202220,N,561,TA,CompShg,Gable,Normal,WD ,130000,0,Pave,9,0,AllPub,483,1953,1953,2007
1622,0,0,NA,3,2fmCon,TA,Av,1,0,TA,90,1159,0,BLQ,Unf,Y,Norm,Norm,SBrkr,0,Gd,TA,MetalSd,MetalSd,NA,TA,1,CBlock,1,Typ,1356,4,TA,Fin,TA,2Types,1975,1622,0,GasA,Ex,1Story,1,TA,Low,Mod,32463,Inside,None,Reg,0,190,RL,149,Stone,NA,0,3,Mitchel,0,2283,4,4,0923205025,Y,0,NA,CompShg,Gable,Normal,WD ,168000,0,Pave,7,1249,AllPub,439,1961,1975,2007
1676,0,0,NA,3,1Fam,TA,Mn,1,0,TA,48,1112,0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,Fa,TA,Plywood,Plywood,GdPrv,TA,2,PConc,1,Mod,672,2,TA,RFn,TA,Attchd,1977,1676,1,GasA,TA,1Story,1,Gd,Lvl,Gtl,33983,Inside,61,IR1,0,020,RL,0,None,NA,0,5,Mitchel,90,2295,6,5,0923229140,P,0,NA,CompShg,Gable,Normal,WD ,196000,0,Pave,6,1160,AllPub,690,1977,1994,2007
1608,0,0,NA,3,1Fam,TA,No,0,0,TA,585,811,0,BLQ,Unf,N,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,NA,0,CBlock,1,Typ,444,1,Fa,Unf,TA,Attchd,1961,1608,0,GasA,TA,1Story,1,TA,Lvl,Gtl,27697,Inside,124,Reg,0,020,RL,198,CBlock,NA,0,11,Mitchel,38,2299,3,4,0923251160,Y,0,NA,CompShg,Shed,Abnorml,COD,80000,0,Pave,6,1396,AllPub,152,1961,1961,2007
1390,0,0,NA,1,1Fam,TA,Gd,1,0,Gd,595,1110,0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NA,Gd,2,CBlock,1,Min1,550,2,TA,Unf,TA,Attchd,1957,1390,1,GasA,Ex,1Story,1,Ex,Low,Sev,39384,CulDSac,None,IR1,0,020,RL,902,Stone,NA,0,10,NAmes,189,2309,6,6,0526303060,Y,0,NA,CompShg,Gable,Abnorml,WD ,252000,0,Pave,4,1705,AllPub,0,1957,1957,2006
1056,0,0,NA,3,2fmCon,TA,Mn,1,0,TA,0,1056,0,Rec,Unf,N,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NA,NA,0,CBlock,1,Typ,572,2,TA,Fin,TA,Attchd,1955,1056,0,GasA,TA,1Story,1,TA,Bnk,Gtl,34650,Inside,100,Reg,0,190,RL,0,None,NA,0,1,Gilbert,0,2339,5,5,0527250040,Y,0,NA,CompShg,Hip,Normal,WD ,145000,0,Pave,5,1056,AllPub,264,1955,1955,2006
1831,1796,0,NA,4,1Fam,TA,Gd,1,0,Ex,543,1387,0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,Gd,Gd,HdBoard,HdBoard,NA,TA,1,PConc,3,Typ,807,3,TA,Fin,TA,Attchd,1995,3627,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,35760,CulDSac,118,IR1,0,060,RL,1378,BrkFace,NA,0,7,NoRidge,76,2446,5,10,0528320060,Y,0,NA,CompShg,Hip,Normal,WD ,625000,0,Pave,10,1930,AllPub,361,1995,1996,2006
1842,0,0,NA,0,1Fam,TA,Gd,2,0,Ex,32,1810,0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,WdShing,Wd Shng,NA,Gd,1,CBlock,0,Typ,894,3,TA,Fin,TA,Attchd,1981,1842,1,GasA,Gd,1Story,1,Gd,Low,Gtl,50271,Inside,68,IR1,0,020,RL,0,None,NA,0,11,Veenker,72,2523,5,9,0533350050,Y,0,NA,WdShngl,Gable,Normal,WD ,385000,0,Pave,5,1842,AllPub,857,1981,1987,2006
1611,875,0,NA,5,1Fam,TA,No,0,0,TA,1595,0,0,Unf,Unf,Y,RRAn,Feedr,SBrkr,0,TA,TA,BrkFace,Wd Sdng,NA,Gd,1,CBlock,2,Typ,576,2,TA,Unf,TA,Detchd,1962,2486,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,33120,Inside,90,IR3,0,050,RM,0,None,NA,0,10,OldTown,0,2687,5,6,0903425190,Y,0,NA,CompShg,Gable,Normal,WD ,220000,0,Pave,8,1595,AllPub,0,1962,1962,2006
1582,0,0,NA,4,1Fam,TA,Av,0,1,TA,812,812,0,Rec,Unf,Y,Norm,Norm,SBrkr,0,Gd,TA,Wd Sdng,Wd Sdng,NA,NA,0,CBlock,2,Typ,390,2,TA,Unf,TA,Attchd,1964,1582,0,GasA,Fa,1Story,1,TA,Low,Mod,36500,Inside,None,IR1,0,020,RL,621,BrkCmn,NA,0,6,ClearCr,198,2765,5,5,0906426090,N,0,NA,CompShg,Gable,Normal,WD ,190000,0,Pave,7,1624,AllPub,168,1964,1964,2006
1533,0,0,NA,2,1Fam,TA,Gd,1,0,Gd,878,655,0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,TA,2,CBlock,2,Typ,576,2,TA,Unf,TA,Attchd,1975,1533,0,GasA,TA,1Story,1,Gd,Low,Mod,70761,Inside,62,IR1,0,020,RL,0,None,NA,0,12,ClearCr,54,2767,5,7,0906475200,Y,0,NA,WdShngl,Gable,Normal,WD ,280000,0,Pave,5,1533,AllPub,200,1975,1975,2006
1238,1281,0,NA,4,1Fam,TA,Gd,1,0,Gd,245,965,0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,NA,Gd,2,PConc,2,Typ,628,2,TA,RFn,TA,Attchd,1989,2519,1,GasA,Ex,2Story,1,Gd,Lvl,Mod,26178,Inside,42,IR1,0,060,RL,293,BrkFace,NA,0,4,Timber,27,2892,5,7,0916225130,Y,0,NA,CompShg,Hip,Normal,WD ,335000,0,Pave,9,1210,AllPub,320,1989,1990,2006
1650,0,0,NA,2,1Fam,TA,Gd,1,0,Gd,723,909,0,BLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,Gd,2,CBlock,1,Typ,518,2,TA,Unf,TA,Attchd,1958,1650,0,GasA,TA,1Story,1,TA,Low,Mod,50102,Inside,None,IR1,0,020,RL,0,None,NA,0,3,Timber,0,2894,5,6,0916325040,Y,0,NA,Tar&Grv,Gable,Alloca,WD ,250764,138,Pave,6,1632,AllPub,0,1958,1958,2006
1600,0,0,NA,3,1Fam,NA,NA,0,0,NA,0,0,0,NA,NA,Y,Artery,Norm,FuseA,135,Fa,TA,CBlock,VinylSd,NA,NA,0,CBlock,1,Mod,270,1,TA,Unf,Fa,Attchd,1951,1600,1,GasA,TA,1Story,1,TA,Lvl,Gtl,31250,Inside,125,Reg,0,020,A (agr),0,None,NA,0,5,Mitchel,0,2904,3,1,0923125030,N,0,NA,CompShg,Gable,Normal,WD ,81500,0,Pave,6,0,AllPub,0,1951,1951,2006
